2020/02/14 09:44:10 [error] 6#6: *8 open() "/static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:44:10 [error] 6#6: *6 open() "/static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:44:10 [error] 6#6: *5 open() "/static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:45:50 [error] 6#6: *10 open() "/static/app_sumo/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:45:50 [error] 6#6: *11 open() "/static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:50:33 [error] 6#6: *1 open() "/etc/nginx/../static/app_sumo/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:50:33 [error] 6#6: *2 open() "/etc/nginx/../static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:50:33 [error] 6#6: *2 open() "/etc/nginx/../static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:50:34 [error] 6#6: *2 open() "/etc/nginx/../static/app_sumo/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:50:34 [error] 6#6: *1 open() "/etc/nginx/../static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:50:34 [error] 6#6: *1 open() "/etc/nginx/../static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:50:39 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:39 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:39 [error] 6#6: *7 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *7 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
